_BSDKK,（     ）扳手的开口尺寸可以在一定范围内自由调节，用于拆装不规则的带有棱角的螺母或螺栓。,"活动"
_BSNXS,（     ）扳手能显示转矩的大小。,"扭力"
_BSSYY,（     ）扳手适用于拆装位置狭小、特别隐蔽的螺母或螺栓。,"开口"
_DLTZG,（     ）的轮胎在干燥路面能获得最大驱动力。,"横向花纹"
_DLTZJ,（     ）的轮胎在积水路面，水排不出去，就产生水质，引起打滑，造成危险，只在赛车上使用。,"无花纹"
_DLTZP,（     ）的轮胎在普通汽车上无法使用，只在赛车上使用。,"无花纹"
_JJSWF,（     ）将金属物放在蓄电池壳体上。,"禁止"
_JYLHD,（     ）具有良好的机械安定性、胶体安定性、防锈性、氧化安定性和抗水性，适用在30～120"C温度范围内使用。,"通用锂基润滑脂"
_JYYDY,（     ）将油液的压力转换为机械能带动负载运动。,"液压缸"
_NSXQ_,（     ）耐水性强，但耐热性差。,"钙基润滑脂"
_SZCYD,（     ）是最常用的表面粗糙度的评定参数。,"轮廓算术平均偏差RA"
_SZJLJ,（     ）是指将零件按其实际尺寸大小分成若干组，然后按组进行装配。,"不完全互换"
_YGGDJ,（     ）有更高的极压抗磨性和更好的高温低温性能。,"极压复合锂基润滑脂"
_ZDYSM,（     ）制动液是目前广泛应用的主要品种。,"合成型"
CLZJY_,CC、CD两种机油（     ）。,"使用CD机油的发动机工作条件更差一些"
EXFDJQ,EQ61100-1．型发动机汽缸有（     ）级修理尺寸。,"6"
HDDDLS,HID大灯点亮时会产生（     ）伏电压。,"几万"
MBS_,M20表示（     ）。,"普通粗螺纹"
TXYDST,T8014型移动式镗缸机的最大镗孔直径是（     ）。,"Φ66～Φ140"
UBLKYG,UV玻璃可以过滤（     ）。,"紫外线"
_DKFDJ,电控发动机的燃油压力低会引起发动机不能起动或运转不良故障，这故障可能是由于（     ），压力调节器或从油箱到燃油滤清器连接的任何地方有阻力所引起。,"脉动阻尼器故障"
_LYZMH,利用字母和（     ）可对设备、部件或电路图中的线路符号作标注 。,"数码"
_YBQCZ,一般汽车正常行驶时（     ）排放量最多，（     ）排放量最少。,"NoxCO"
_HQCYS,-10号轻柴油适合于最低气温在（     ）℃以上的地区使用。,"-5"
_KYYZZ,40MnB可用于制作汽车（     ）。,"变速箱二轴"
BEJZS_,把二进制数 1001 转换为十进制数为（     ）。,"7"
BFBBPK,百分表表盘刻度为100格，短针转动一圈为（     ）mm。,"1"
BFBCZZ,百分表长针转动一圈，短针则转（     ）格。,"一"
BFBDGG,百分表的规格"0~10mm"表示（     ）。,"测量范围"
BHJDKZ,闭合角的控制包括通过电流的控制和（     ）。,"一次电压控制"
BKXSJJ,别克新世纪轿车水温为（     ）℃时其冷却风扇应低速运行。,"106"
BSQQHB,变速器前后壁变形将导致其与轴承孔轴线（     ）的变化。,"垂直度"
BSQYKB,表示汽油抗爆性的指标是（     ）。,"辛烷值"
BSYPSZ,不属于盘式制动器的优点是（     ）。,"制动力较为稳定"
BTQYFD,不同汽油发动机的有效功率，随（     ）增加而增加。,"发动机功率"
CDACWD,锉刀按齿纹的粗细不同又可分为粗锉、中锉、细锉和（     ）等。,"油光锉"
CHSWL_,淬火是为了（     ）。,"提高硬度"
CLQGDY,测量气缸的圆柱度、圆度误差时，首先要确定气缸的（     ），才能校对量缸表。,"标准尺寸"
CLQGZJ,测量气缸直径，可将量缸表放入气缸上部，若表针能转动（     ）圈左右，表示调整合适。,"一"
CLWCYX,测量误差越小，测量结果越接近真值，则测量精度（     ）。,"越高"
CQCSCX,从汽车上拆卸蓄电池时，应先拆（     ）。,"搭铁电缆"
CSBLYB,彩色玻璃一般用于（     ）。,"风窗玻璃"
CXLSYG,拆卸螺栓应该使用（     ）。,"套筒扳手"
CXSGJC,拆卸水管夹雏可以使用（     ）。,"鲤鱼钳"
CXS_ZJ,锉削时，（     ）在加工表面处加少许机油以便冷却和润滑。,"不可"
CYDPFS,常用的剖分式轴承被称为轴瓦，一般在轴瓦内表面铸一层（     ）材料。,"减磨"
CYDTHJ,采用低碳合金钢20CrMnTi制作的汽车传动齿轮，要求表面有高的硬度和耐磨性，心部具有良好的韧性，其最终热处理应采用（     ）。,"渗碳+淬火+低温回火"
CYDTHQ,常用的台虎钳有（     ）和固定式两种。,"回转式"
CYFDJD,柴油发动机的混合气是在（     ）内形成的。,"燃烧室"
CYJYSY,柴油机油使用级的选择，主要根据柴油机的（     ）。,"强化程度"
CYSJGD,采用三角刮刀进行曲面刮削时，三角刮刀应在曲面内做（     ）。,"螺旋运动"
DFDJGZ,当发动机工作稳定后，电磁喷油器的喷油量主要决定于（     ）。,"工作温度"
DHYCZO,点火钥匙在ON挡，打开风窗玻璃清洗液开关，没有液体喷出，可能的原因是（     ）。,"其他选项都有可能"
DJCDGZ,当检测到故障时，自诊断系统完成以下基本工作，以指示灯向驾驶员发出故障信号，起动带故障运行控制功能，并（     ）。,"储存故障信息"
DJYYLJ,当机油压力警示灯点亮时，发动机（     ）。,"应立即停止工作，检查故障原因"
DKFDJG,电控发动机根据（     ），设置喷油量。,"固定油量"
DKRYPS,电控燃油喷射系统按其功用来分，主要由进气系统（     ）和电子控制系统三部分组成。,"燃油供给系统"
DLQSWD,当冷却水温度达到（     ）℃时， 步进电动机式怠速控制执行机构的暖机控制结束，怠速控制阀达到正常怠速开度。,"90"
DLSZDG,电流所做的功，与加在负荷两端的电压成正比，与通过负载的电流成（     ）。,"正比"
DQR_GZ,当确认（     ）故障时，计算机根据故障的严重程度采取相应的安全措施。,"执行器"
DSJXZW,对涉及旋转物体的工作，要（     ）。,"以上选项都正确"
DYCCCG,对于存储超过2年的干式荷电铅蓄电池，使用前应先（     ）。,"补充电解液"
DZDHKZ,电子点火控制装置最核心的部件是（     ）。,"点火线圈"
DZDHXT,电子点火系统主要由传感器、EU、点火模块、（     ）、火花塞等组成。,"三极管"
DZKZZD,电子控制自动变速器的控制功能主要有（     ），为了改善换挡质量，电控系统还有其他控制功能，如发动机转矩控制等。,"换挡正时控制"
FCBLSD,风窗玻璃上的彩色区域，一般不超过总面积的（     ）。,"0.2"
FDJCS_,发电机产生（     ）相交流电。,"三"
FDJDRX,发动机的热效率只能（     ）100%。,"小于"
FDJGTC,发动机缸套产生穴蚀的主要原因是：缸套与（     ）接触在高频振动下形成的。,"水"
FDJG_C,发动机盖、车门采用（     ）。,"冷轧板"
FDJHSH,发动机活塞环开口间隙过小，会导致活塞环（     ）。,"折断"
FDJPQJ,发动机配气机构可分为气门组和气门传动组，下列零件中（     ）不属于气门组。,"气门挺柱"
FDJQGT,发动机气缸体、气缸盖在修理时，在（     ）MPa 的水压下做 5 min 水压试验，不得渗漏。,"0.3-0.4"
FDJSPM,发动机上平面翘曲后，应采用（     ）修理。,"磨削"
FDJXNZ,发动机性能指标随调整情况和使用工况而变化的关系称为（     ）。,"发动机特性"
FT_XZD,丰田 A43DE 型自动变速器 ，以D挡高速行驶时， 如把加速踏板急踩到底， 会从（     ）。,"一挡到二挡"
GBTLKS,攻不通螺孔时，由于丝锥不能切到底，所以钻孔深度要（     ）螺纹长度。,"大于"
GCTLST,国产T716立式镗床最大镗孔长度为（     ）mm。,"150"
GCCTDG,构成车体的钢板要求（     ）。,"比上选项都正确"
GHBLBN,钢化玻璃不能用于（     ）。,"风窗玻璃"
GJBZGD,国家标准规定，在每一个基本尺寸段内，都有（     ）个公差等级的标准公差。,"20"
GSHDQX,干式荷电铅蓄电池正极板上的活性物质是（     ）。,"二氧化铁"
GSZDQB,鼓式制动器不包括（     ）。,"浮动钳盘式"
GWFDJR,国外发动机润滑油的分类法是（     ）。,"API性能分类和SAE粘度分类"
GYDLCS,感应电流产生的条件是（     ）。,"电路是闭合回路"
GYQCXL,关于汽车修理工艺过程进厂验收的目的，下列说法不正确的是（     ）。,"确定汽车零件清洗方法"
GYXZDD,高压线中的电阻导体为（     ）材料。,"铜线"
HHSDZW,火花塞的自我净化温度大约在（     ）℃。,"35"
HHSWL_,回火是为了（     ）。,"增加韧性"
JCDKZD,检测电控自动变速器时，为确定故障存在的部位，区分故障是机械系统、液压控制系统还是电子控制系统引起的，应当进行（     ）。,"基础检查"
JCQGYL,检查气缸压力时，需将（     ）火花塞拆除。,"全部"
JCSPHJ,就车式平衡机按（     ）原理工作。,"静平衡"
JCXLDQ,进厂修理的汽车，通过查阅汽车技术档案，听取驾驶员反映，确定汽车（     ）检视和路试内容。,"外部"
JDJBPY,决定基本喷油量的传感器是（     ）。,"进气压力传感器"
JFDJTL,将发动机凸轮轴支于V型架上，应用（     ）检测凸轮轴的弯曲程度。,"百分表"
JGSYLZ,锯弓是用来装夹锯条的，它有固定式和（     ）两种。,"可调式"
JGS_SJ,锯割时，手锯在前行中（     ）压力。,"应加"
JQCBZB,将汽车标准半轴安装在经修整过的轮毂上，然后在桥壳中部检视两半轴轴心未对正，则说明桥壳（     ）。,"弯曲变形"
JQKZXT,进气控制系统主要有进气谐振增压控制、配气定时控制、增压控制、（     ）。,"进气涡流控制"
JSKYSY,甲说可以使用尖嘴钳拧松螺栓。乙说使用尖嘴钳时不允许使用过大力矩，以防止钳口变形。甲、乙二人的说法中（     ）。,"乙对"
JSRHHD,金属熔化后的流动性和冷凝时的收缩性称为（     ）。,"可铸性"
JSZYLW,技师专业论文所反映的必须是技师所在的本职业（工种）范围内的各种技术或业务问题。就技师专业论文的表达方式而言，一般采用（     ）。,"抒情散文的表达方式"
JSZYLW,技师专业论文引言的撰写，力求突出重点，言简意骸，主要是将背景情况、论述思路等说清楚即可，（     ）。,"论文读者应该了解专业的有关背景，不明白的自己去查资料"
JXGJSY,锯削钢件时应使用（     ）冷却。,"冷却液"
JXJJJD,假想将机件的倾斜部分旋转到与某一选定的基本投影面平行后，再向该投影面投影所得到的视图称为（     ）。,"旋转视图"
JXWCH_,铰削完成后，应按（     ）旋出铰刀。,"顺时针方向"
JYDNDS,机油的粘度随温度变化而变化的性能称（     ）。,"粘温特性"
JYPHZ_,机油牌号中，在数字后面带“W”字母的表示（     ）。,"低温系列"
KDSPCS,孔的上偏差是（     ）。,"ES"
KY_LTD,可用（     ）来替代45#钢制作发动机曲轴。,"QT600-3"
LHJKFW,铝合金可分为（     ）和铸造铝合金两类。,"形变铝合金"
LHQDGY,离合器的功用是传递转矩，保证平稳起步，（     ），防止传动系过载。,"降速增扭"
LJCHHZ,零件淬火后再进行高温回火处理的方法称为（     ）处理。,"调质"
LJDFST,零件的俯视图反映了零件的（     ）。,"长度和宽度"
LJDZST,零件的主视图反映了零件的（     ）。,"长度和高度"
LJPLSC,零件疲劳是长时间工作在（     ）条件下产生的。,"交变载荷"
LQXCLN,冷却系除了能满足发动机在最大热负荷情况下的冷却外，还能（     ）。,"参与发动机功能转换"
LTSDDJ,轮胎速度等级字母代号H表示不能超过（     ）km/h。,"180"
LWXLYS,螺纹相邻牙上对应点的轴向距离称为（     ）。,"螺距"
LYQFCC,利用千分尺测量读数时，如果微分筒锥面边缘的前面露出主尺纵线下边的刻线，则小数部分（     ）0.5m。,"大于"
LYS_JS,炼油时，将石油加热到（     ）℃。,"350"
LZ_JCD,凌志 LS 400 轿车的 2 号高度控制阀用于控制（     ）。,"后悬架左右空气弹簧的充气和排气"
MGCYAQ,美国车用安全气囊容积一般为（     ）L。,"60"
MWHXDC,免维护蓄电池，也称MF蓄电池，在使用过程中不需（     ）。,"维护"
MYMBFZ,每研磨半分钟左右，应把工件转动（     ），再继续研磨，以免发生倾斜现象。,"90°"
MYNTDL,没有内胎的轮胎称为（     ）轮胎。,"无内胎"
NJBFBZ,内径百分表在汽车修理中主要用来测量发动机气缸的（     ）。,"圆度和圆柱度"
NLDCDT,钠硫电池的特点之一是（     ）。,"工作温度低"
NSXDJG,暖水箱的结构形式一般有管翅式，（     ）。,"管带式"
PQJGDZ,配气机构的作用是按照（     ）和每一缸工作循环的要求，定时地将各缸进气门与排气门打开、关闭，以便发动机进行换气过程。,"曲轴转角"
PTHTY_,普通黄铜有（     ）。,"H68"
PTHTZ_,普通黄铜中，含锌量为30%～32%时，（     ）最好。,"塑性"
QBLGJG,曲柄连杆机构由（     ）三大部分组成。,"机体、活塞连杆、曲轴飞轮"
QCCYWL,汽车采用网络技术的根本目的一是（     ），二是实现快速通信。,"线束"
QCDPSX,汽车的平顺性是指在汽车行驶的过程中，乘员所处的（     ）具有一定的舒适度的性能。,"振动环境"
QCDSQL,汽车的输气连接橡胶管可承受（     ）kPA的工作压力。,"784"
QCDXJG,汽车大修竣工后进行道路验收时，应在干燥路面上进行，车速不超过（     ）km/ h。,"25"
QCDXJG,汽车大修竣工后，发动机起动时间应小于（     ）s。,"5"
QCDXJG,汽车大修竣工后，空载行驶初速度为30km/h时，滑行距离应不少于（     ）m。,"220"
QCDXJG,汽车大修竣工外观检视不包括（     ）。,"转向性能"
QCFDJD,汽车发电机的（     ）是用来产生三相交流电的。,"定子总成"
QCFDJG,汽车发电机过载时，（     ）协助发电机向用电设备供电。,"蓄电池"
QCLBDH,汽车类别代号6表示（     ）。,"客车"
QCLTD_,汽车轮胎的（     ）、速度等级及负荷等级均标记在胎侧。,"尺寸规格"
QCTYCZ,汽车同一车轴上应装用同一生产厂商，同一规格、结构、（     ）和磨损程度一致的轮胎。,"直径、高宽比"
QCZCGZ,汽车轴承滚子（     ）是由于表面疲劳磨损造成的。,"麻点"
QCZDXZ,汽车制动系中真空助力器的助力源是大气与（     ）。,"压缩空气"
QCZLLJ,汽车轴类零件发生疲劳，严重时会使零件（     ）。,"断裂"
QDFDJX,确定发动机修理尺寸时，除根据测量的圆柱度、圆度进行计算外，还应考虑（     ）对修理尺寸的影响。,"弯曲"
QDGJRY,气动工具容易出现问题的是（     ）。,"以上选项都正确"
QDJGZS,起动机工作时，吸引线圈和保持线圈通电，小齿轮与飞轮齿环啃合，（     ），起动机转动。,"吸引线圈断电"
QDSZJS,强度是指金属材料在外力作用下抵抗（     ）的能力。,"变形和破坏"
QFCSYZ,千分尺是一种精密量具，其测量精度可达（     ）mm。,"0.01"
QFCZWF,千分尺在微分筒的圆锥面上刻有（     ）条等分的刻线。,"50"
QJDSPQ,千斤顶适配器用于（     ）。,"带有偏置差动齿轮的4WD车辆"
QLCYDL,前轮采用独立悬架的汽车，转向梯形机构中的横拉杆应是（     ）的。,"断开式"
QLDWBK,前轮定位包括（     ）。,"主销内倾"
QMGDYY,曲面刮刀用于刮削内曲面，如轴承、衬套等，常用曲面刮刀是（     ）。,"三角刮刀"
QXFDJS,清洗发动机时，应先（     ）。,"关闭点火系统"
QXJKZJ,清洗机可直接清洗的配件是（     ）。,"缸盖"
QYBDYB,汽油泵的摇臂行程磨损不应超过（     ）毫米。,"0.2"
QYDYSW,汽油的颜色为（     ）。,"无色"
QYFDJD,汽油发动机的有效功率、有效转矩和燃油消耗率随（     ）变化的规律称为速度特性。,"曲轴"
QYJBZD,汽油机爆震的检测主要有气缸压力检测法、燃烧噪声检测法和（     ）。,"非共振法"
QYLQQD,汽油滤清器的滤芯形式没有（     ）。,"铝合金"
QYYJYL,汽油要具有良好的抗爆性、化学稳定性、耐腐蚀性、清洁性以及（     ）。,"抗压性"
RGYYGZ,如果由于工作空间限制不能使用成套套筒扳手，应尽可能选用（     ）。,"梅花扳手"
RHXZDJ,润滑系中的机油滤清器拧紧力矩为（     ）N•m。,"20"
RHYZDS,润滑油脂的首要作用是（     ）。,"润滑"
RHZSAZ,润滑脂是按照（     ）的大小来编号的。,"针入度"
RSXSZJ,热塑性树脂加热后会（     ）。,"变软"
RSXSZY,热塑性树脂用于（     ）。,"保险杠"
RYXSZJ,热硬性树脂加热后会（     ）。,"变硬"
SDBSQD,手动变速器的功用是（     ）。,"中断发动机向驱动桥的动力传递"
SLJDTJ,砂轮机的托架和砂轮表面之间应保持（     ）mm以内的距离，以免将工件扎入。,"3"
SLJQDH,砂轮机启动后，应待转速达到（     ）时，方可进行磨削。,"正常"
SLJSLD,砂轮机砂轮的旋转方向应正确，磨屑应向（     ）飞离砂轮。,"下方"
SLWZSY,十六烷值是用来表示柴油的（     ）性能的。,"发火"
SLYJSX,塑料与金属相比，具有（     ）特点。,"以上选项都正确"
STN_XJ,桑塔纳2000型轿车AFE型发动机装复后，各缸压力差应不小于（     ）MPA。,"0.3"
STN_YQ,桑塔纳2000、一汽奥迪、神龙富康轿车的转向系均采用（     ）。,"齿轮齿条式"
SYCZS_,使用锤子时，手应握在木柄的（     ）。,"三分之二处"
SYLJJJ,所有零件经检验可分为可用的、不可用的和（     ）三类。,"需修的"
SYQFCC,使用千分尺测量时，应保证千分尺螺杆轴线和工件中心线（     ）。,"垂直"
SYWJQF,使用外径千分尺时，下述（     ）没做，一定会影响测量精度。,"锁止度数"
SZYBYH,丝锥一般用合金工具钢或高速钢制成，并经（     ）。,"淬火处理"
SZYLZH,丝锥由两只或三只组成一套，分成（     ）、二锥和三锥，攻螺纹时依次使用。,"头锥"
TCFDJZ,通常发动机在（     ）转分时，发出的转矩最大。,"4200"
TRXJSY,天然橡胶适用于（     ）。,"轮胎"
TTBXZD,胎体变形增大，使内应力增加，并过度生热升温。加速橡胶老化和帘线疲劳，导致帘线折断和帘布脱层，是（     ）的现象。,"轮胎动不平衡"
WLJGJG,为了将工件更加牢固地夹紧在台虎钳上，可以（     ）。,"增加钳口与工件的接触面积"
WXCDZZ,万向传动装置除连接变速器与驱动桥外，还应用于（     ）。,"转向操纵系统中"
WYEJGD,稳压二极管的稳定电压与击穿电压相比，稳压电压（     ）。,"相同"
XDCCDS,蓄电池充电时，（     ）。,"硫酸浓度升高，电动势升高"
XDCFDS,蓄电池放电时，硫酸分解成（     ）。,"氢离子和硫酸根"
XDFDJD,现代发动机的温度属于（     ）。,"高温"
XJCQSL,橡胶长期受力，会加速（     ）。,"老化、变形"
XJDXYJ,悬架弹性元件起（     ）作用。,"衰减振动"
XLBJKS,下列部件可使用合金钢制造的是（     ）。,"曲轴"
XLBSKQ,下列不是靠驱动皮带驱动的是（     ）。,"机油泵"
XLBSNL,下列不是扭力扳手类型的是（     ）。,"弹簧式"
XLBSYX,下列不属于旋转工具的是（     ）。,"挫刀"
XLNGXX,下列哪个选项是发动机的传感器。,"空气流量计"
XLPJBS,下列配件不是用铝制成的是（     ）。,"悬架"
XLXXZ_,下列选项中，（     ）不符合汽车制动液性能的要求。,"蒸发性要好"
XLXXZ_,下列选项中，非润滑油的功能是（     ）。,"冷却"
XMSFCW,下面说法错误的是（     ）。,"安全带警示灯点亮后应首先检查电路故障"
XMSYAQ,下面属于安全装置的是（     ）。,"其他各项都正确"
XSBSWJ,下述不是外径千分尺规格的是（     ）mm。,"5~25"
YBJSJD,一般计算机对怠速控制的内容包括起动后控制、减速时的控制、负荷变化时的控制和（     ）。,"暖机控制"
YBKCDJ,游标卡尺的精度有（     ）三种。,"0.10mm、0.05mm、0.02mm"
YBQKX_,一般情况下，发动机汽缸沿轴线方向磨损呈（     ）的特点。,"上大下小"
YDPHQY,用低牌号汽油代替高牌号汽油时，应适当（     ）点火提前角，以免发生爆燃。,"减小"
YDZAWS,遇到障碍物时，由于受到冲击，会引起胎冠爆裂，是（     ）的现象。,"轮胎超载"
YGXB_Z,与钢相比，铸铁工艺性能的突出特点是（     ）。,"可铸性好"
YJCJCF,应经常检查发动机机油液面，保持机油液面位于机油尺（     ）。,"MAx及Min两个标记之间"
YMYZKS,研磨圆锥孔时，应沿同一方向转动，且每转（     ）圈，将研磨棒稍微拔出一些，再推入研磨。,"3～4"
YSZWYB,用数字万用表的（     ）可检测点火线圈是否有故障。,"欧姆挡"
YXXYWZ,优先选用文字符号的规则是（     ）应优先选用。,"字母符号"
YXYGDD,以下有关电动门窗说法正确的是（     ）。,"电动门窗上升速度过慢时不可以在车窗玻璃的密封滑槽内喷入任何润滑油来解决"
YXYGGS,以下有关刮水系统说法错误的是（     ）。,"在检查刮水系统时，若发现只有快速挡，肯定是熔丝烧毁造成的"
YYLTCL,由于轮胎材料的发展，轮胎承压能力大幅提高，相应轮胎（     ）也提高了。,"气压"
YYZDZB,液压制动总泵由缸体、（     ）、推杆、皮碗、回位弹簧、出油阀、回油阀组成。,"挺杆"
YZJLDY,已知交流电压的有效值是 220 V，频率为 50 Hz，当 t = O 时 ，瞬时值为 110 V。则该电压的瞬时值表达式为（     ）。,"U=22Ocos(314t+30°)"
YZTSJG,优质碳素结构钢的牌号是由两位数字表示，表示钢平均含碳量的（     ）。,"万分之几"
Z_SKQL,在（     ）式空气流量传感器中，还装有进气温度传感器和油泵控制触点。,"热膜"
ZBFDLZ,在部分电路中，通过电路的电流与这段电路两端的电压（     ）,"成正比"
ZBXBMZ,在必须避免撞坏物件的地方应该使用（     ）。,"塑料锤"
ZBZKZZ,在爆震控制中，当发动机发生爆震时， ECU会（     ）。,"推迟点火时刻"
ZDBSQE,自动变速器EU主要根据节气门位置传感器和（     ）发出的信息，控制换挡电磁阀动作，实现换挡。,"车速传感器"
ZDBSQY,自动变速器液压泵齿轮与泵盖间的间隙不超过（     ）mm 。,"0.1"
ZDQCXL,制定汽车修理工时，一定要遵守以下几项原则，即（     ）。,"现实性、合理性"
ZFQWLZ,在废气涡轮增压控制系统中，控制排气流动路线的切换阀受（     ）的控制。,"驱动气室"
ZJHCPC,在进行产品成本的核算时，常把产品成本分为三部分进行核算：即（     ），然后把其累加起来即为产品成本。,"材料费、杂费、基本工资"
ZJSQAC,主减速器按传动比挡数可分为单速式和（     ）。,"高速式"
ZJSQDY,主减速器的圆锥滚子轴承一般都是成对安装使用的，装配时应使其具有一定的（     ）。,"预紧度"
ZKSDHT,真空式点火提前装置的作用是当发动机负荷发生变化时会自动调整（     ）提前角。,"点火"
ZLHJY_,铸铝合金有（     ）。,"ZL101"
ZPSZDD,在盘式制动的车辆上，当施加制动且ABS尚未工作时，制动踏板快速脉动，可能是（     ）造成的。,"制动盘跳动扯过大"
ZQCDHX,在汽车点火系中，电容器可以防止触点烧蚀，提高（     ）。,"次级电压"
ZQCSJG,在汽车实际故障诊断中，常采用模拟信号发生器的（     ）来判断某部位的好坏。,"动作"
ZRGZSX,在日光照射下，塑料不会产生（     ）。,"增亮"
ZWDXSR,正温度系数热敏电阻随温度升高阻值（     ）。,"上升"
ZWXLTD,子午线轮胎的（     ）层就像一条钢带箍在帘布层上，极大提高了胎面的刚度和强度，减少了爆胎的可能。,"缓冲"
ZXCDJG,转向传动机构可以将（     ）输出的力传给转向轮。,"转向器"
ZXJKPM,錾削较宽平面时，应先用（     ）在平面上开槽，再用扁錾錾去剩余部分。,"尖錾"
ZXS_ZS,錾削时，左手握住錾身，錾子尾端以露出（     ）mm左右为准。,"20"
ZXS_ZZ,錾削时，錾子的切削刃应与錾削方向倾斜一个角度，此角度大约在（     ）之间。,"25°～40°"
ZYXHXG,在以下划线工具中，（     ）是绘画工具。,"划规"
ZZYBYY,錾子一般用优质碳素工具钢制成，刃口部分经（     ）处理。,"淬火+低温回火"
_Y_MDL,“与“门电路的逻辑表达式为（     ）。,"Y=A•B"
